ebn0_db,worker_id,frame_idx,legacy_success,legacy_detected_failure,success_exact,valid_codeword,undetected_error,stop_iteration,final_syndrome_weight,runtime_ms
8.0,30,31,1,0,1,1,0,10,0,24.32807395234704
8.0,30,32,0,1,0,0,0,12,134,29.364719055593014
8.0,30,33,0,1,0,0,0,12,128,29.36792909167707
8.0,30,34,1,0,1,1,0,5,0,12.814359040930867
8.0,30,35,1,0,1,1,0,9,0,22.14479399845004
8.0,30,36,1,0,1,1,0,2,0,5.6950419675558805
8.0,30,37,0,1,0,0,0,12,138,29.253120068460703
8.0,30,38,1,0,1,1,0,11,0,30.25238518603146
8.0,30,39,1,0,1,1,0,9,0,22.69614115357399
8.0,30,40,1,0,1,1,0,9,0,22.295484086498618
8.0,30,41,0,1,0,0,0,12,135,29.261789051815867
8.0,30,42,1,0,1,1,0,6,0,15.238486928865314
8.0,30,43,1,0,1,1,0,11,0,27.08600996993482
8.0,30,44,0,1,0,0,0,12,128,29.273950029164553
8.0,30,45,0,1,0,0,0,12,123,29.3262901250273
8.0,30,46,0,1,0,0,0,12,118,29.19421996921301
8.0,30,47,0,1,0,0,0,12,135,29.305509058758616
8.0,30,48,1,0,1,1,0,7,0,17.423767130821943
8.0,30,49,1,0,1,1,0,9,0,21.982674952596426
8.0,30,50,1,0,1,1,0,4,0,10.329840006306767
8.0,30,51,1,0,1,1,0,10,0,24.4330030400306
8.0,30,52,0,1,0,0,0,12,117,29.368948889896274
8.0,30,53,1,0,1,1,0,5,0,12.756208889186382
8.0,30,54,0,1,0,0,0,12,123,29.112230986356735
8.0,30,55,0,1,0,0,0,12,123,29.26010894589126
8.0,30,56,1,0,1,1,0,10,0,24.58712295629084
8.0,30,57,1,0,1,1,0,4,0,10.3761600330472
8.0,30,58,0,1,0,0,0,12,125,29.166260035708547
8.0,30,59,1,0,1,1,0,4,0,11.24829612672329
8.0,30,60,1,0,1,1,0,7,0,17.661855090409517
8.0,30,61,0,1,0,0,0,12,141,29.143430991098285
8.0,30,62,0,1,0,0,0,12,129,29.318358981981874
8.0,30,63,0,1,0,0,0,12,117,29.220110038295388
8.0,45,0,0,1,0,0,0,12,114,73.13652010634542
8.0,45,1,1,0,1,1,0,7,0,17.54801580682397
8.0,45,2,0,1,0,0,0,12,127,29.169811168685555
8.0,45,3,1,0,1,1,0,8,0,19.83436499722302
8.0,45,4,0,1,0,0,0,12,130,29.299088986590505
8.0,45,5,1,0,1,1,0,2,0,5.745102884247899
8.0,45,6,0,1,0,0,0,12,133,28.989101061597466
8.0,45,7,1,0,1,1,0,4,0,10.520248906686902
8.0,45,8,0,1,0,0,0,12,140,29.244199860841036
8.0,45,9,0,1,0,0,0,12,117,29.248510021716356
8.0,45,10,0,1,0,0,0,12,141,29.133500065654516
8.0,45,11,1,0,1,1,0,7,0,17.35983695834875
8.0,45,12,1,0,1,1,0,5,0,12.702848995104432
8.0,45,13,0,1,0,0,0,12,133,28.915882110595703
8.0,45,14,1,0,1,1,0,7,0,17.461386043578386
8.0,45,15,0,1,0,0,0,12,117,29.116041027009487
8.0,45,16,1,0,1,1,0,4,0,10.3884800337255
8.0,45,17,1,0,1,1,0,5,0,12.633438920602202
8.0,45,18,0,1,0,0,0,12,134,29.24226992763579
8.0,45,19,0,1,0,0,0,12,132,28.774091973900795
8.0,45,20,0,1,0,0,0,12,111,29.119130922481418
8.0,45,21,1,0,1,1,0,7,0,17.405346035957336
8.0,45,22,0,1,0,0,0,12,123,29.121621046215296
8.0,45,23,0,1,0,0,0,12,122,29.255270026624203
8.0,45,24,0,1,0,0,0,12,103,29.11541983485222
8.0,45,25,0,1,0,0,0,12,136,29.195730108767748
8.0,45,26,1,0,1,1,0,12,0,29.152680886909366
8.0,45,27,1,0,1,1,0,6,0,15.085697174072266
8.0,45,28,0,1,0,0,0,12,141,28.935072012245655
8.0,45,29,1,0,1,1,0,10,0,24.54753196798265
8.0,45,30,0,1,0,0,0,12,137,28.967431047931314
8.0,45,31,0,1,0,0,0,12,132,29.18415004387498
8.0,45,32,1,0,1,1,0,6,0,15.097087947651744
8.0,45,33,1,0,1,1,0,6,0,15.057248063385487
8.0,45,34,0,1,0,0,0,12,134,29.107110109180212
8.0,45,35,1,0,1,1,0,4,0,10.264181066304445
8.0,45,36,0,1,0,0,0,12,132,28.98449101485312
8.0,45,37,1,0,1,1,0,9,0,21.995394956320524
8.0,45,38,0,1,0,0,0,12,111,32.36640500836074
8.0,45,39,1,0,1,1,0,4,0,10.847858153283596
8.0,45,40,0,1,0,0,0,12,126,29.017691034823656
8.0,45,41,0,1,0,0,0,12,130,29.21137004159391
8.0,45,42,0,1,0,0,0,12,119,29.040521010756493
8.0,45,43,1,0,1,1,0,4,0,10.676228208467364
8.0,45,44,0,1,0,0,0,12,127,29.566828859969974
